SimpleID INATTENTIVE_RESP Q_TotalDurationSecs Gender Vehicles HomePark ModelYear Hybrid BuyLease UsedPurchaseYear VehPrice VehSize KnowMPG VehMPG Age Education License Occupation CommuteFullLength DriveCommute WorkParkFee HH_Head Income Kids Adolescent Adults Workers Zipcode HomeType scenario_num year scenario_year in_year choice gas_price ele_price gasveh_price gasveh_mpg gasveh_range gasveh_size hev_price hev_mpg hev_range hev_size bev_price bev_mpg bev_range bev_size curveh_price curveh_mpg curveh_range curveh_size curveh_model_year
39 1 1098 2 2 4 2010 2 2 2010 10000 1 2 -99 4 4 1 1 0 3 -99 1 1 1 1 1 2 21136 3 7 2017 3 1 1 4.43 4.5 22000 38 0 1 32000 41 0 1 20000 109 125 1 10000 -97 -99 0 2010
39 1 1098 2 2 4 2010 2 2 2010 10000 1 2 -99 4 4 1 1 0 3 -99 1 1 1 1 1 2 21136 3 8 2018 4 0 1 4.7 4.51 18000 36 0 1 32000 53 0 1 32000 102 95 1 10000 -97 -99 0 2010
39 1 1098 2 2 4 2010 2 2 2010 10000 1 2 -99 4 4 1 1 0 3 -99 1 1 1 1 1 2 21136 3 9 2018 4 1 1 4.7 4.51 16000 46 0 0 24000 60 0 0 28000 92 95 1 10000 -97 -99 0 2010
39 1 1098 2 2 4 2010 2 2 2010 10000 1 2 -99 4 4 1 1 0 3 -99 1 1 1 1 1 2 21136 3 10 2019 5 0 1 5.07 4.68 13000 48 0 0 21000 54 0 0 32000 95 115 1 10000 -97 -99 0 2010
39 1 1098 2 2 4 2010 2 2 2010 10000 1 2 -99 4 4 1 1 0 3 -99 1 1 1 1 1 2 21136 3 11 2019 5 1 1 5.07 4.68 26000 30 0 1 21000 50 0 0 21000 145 95 0 10000 -97 -99 0 2010
39 1 1098 2 2 4 2010 2 2 2010 10000 1 2 -99 4 4 1 1 0 3 -99 1 1 1 1 1 2 21136 3 12 2020 6 0 1 5.19 4.84 30000 32 0 1 28000 56 0 0 24000 128 90 0 10000 -97 -99 0 2010
39 1 1098 2 2 4 2010 2 2 2010 10000 1 2 -99 4 4 1 1 0 3 -99 1 1 1 1 1 2 21136 3 13 2020 6 1 1 5.19 4.84 25000 40 0 0 24000 57 0 1 24000 118 130 0 10000 -97 -99 0 2010
39 1 1098 2 2 4 2010 2 2 2010 10000 1 2 -99 4 4 1 1 0 3 -99 1 1 1 1 1 2 21136 3 14 2021 7 0 1 5.4 4.91 28000 33 0 2 20000 59 0 1 21000 141 95 0 10000 -97 -99 0 2010
39 1 1098 2 2 4 2010 2 2 2010 10000 1 2 -99 4 4 1 1 0 3 -99 1 1 1 1 1 2 21136 3 15 2021 7 1 1 5.4 4.91 20000 42 0 0 28000 66 0 0 24000 121 125 1 10000 -97 -99 0 2010
39 1 1098 2 2 4 2010 2 2 2010 10000 1 2 -99 4 4 1 1 0 3 -99 1 1 1 1 1 2 21136 3 16 2022 8 0 1 5.49 5.05 35000 30 0 2 18000 56 0 0 24000 134 125 0 10000 -97 -99 0 2010
39 1 1098 2 2 4 2010 2 2 2010 10000 1 2 -99 4 4 1 1 0 3 -99 1 1 1 1 1 2 21136 3 17 2022 8 1 1 5.49 5.05 25000 40 0 0 24000 64 0 0 20000 134 130 1 10000 -97 -99 0 2010
40 1 464 2 3 4 2013 2 1 -99 22000 2 1 38 3 5 1 1 50 1 0 1 4 1 1 3 3 21237 4 0 2014 0 0 3 4.25 4.5 22000 20 0 1 28000 40 0 1 32000 100 75 1 22000 38 -99 2 2013
40 1 464 2 3 4 2013 2 1 -99 22000 2 1 38 3 5 1 1 50 1 0 1 4 1 1 3 3 21237 4 6 2017 3 0 3 4.91 4.68 30000 34 0 1 24000 41 0 1 32000 109 125 1 22000 38 -99 2 2014
40 1 464 2 3 4 2013 2 1 -99 22000 2 1 38 3 5 1 1 50 1 0 1 4 1 1 3 3 21237 4 12 2020 6 0 4 5.07 4.94 30000 44 0 1 50000 36 0 2 32000 128 90 1 24000 41 -99 1 2017
41 0 775 2 3 2 2014 2 1 -99 25000 2 1 32 4 3 1 4 -99 -99 -99 2 3 1 1 2 2 21207 6 0 2014 0 0 1 4.25 5 22000 24 0 1 21000 44 0 0 24000 90 60 1 25000 32 -99 2 2014
41 0 775 2 3 2 2014 2 1 -99 25000 2 1 32 4 3 1 4 -99 -99 -99 2 3 1 1 2 2 21207 6 1 2014 0 1 1 4.25 5 18000 24 0 1 24000 52 0 0 18000 110 100 0 25000 32 -99 2 2014
41 0 775 2 3 2 2014 2 1 -99 25000 2 1 32 4 3 1 4 -99 -99 -99 2 3 1 1 2 2 21207 6 2 2015 1 0 1 4.55 5.11 25000 35 0 0 24000 37 0 1 32000 103 115 1 25000 32 -99 2 2014
41 0 775 2 3 2 2014 2 1 -99 25000 2 1 32 4 3 1 4 -99 -99 -99 2 3 1 1 2 2 21207 6 3 2015 1 1 1 4.55 5.11 26000 34 0 1 21000 50 0 0 18000 113 75 0 25000 32 -99 2 2014
41 0 775 2 3 2 2014 2 1 -99 25000 2 1 32 4 3 1 4 -99 -99 -99 2 3 1 1 2 2 21207 6 4 2016 2 0 1 4.65 5.18 20000 37 0 0 28000 48 0 0 20000 86 100 1 25000 32 -99 2 2014
41 0 775 2 3 2 2014 2 1 -99 25000 2 1 32 4 3 1 4 -99 -99 -99 2 3 1 1 2 2 21207 6 5 2016 2 1 1 4.65 5.18 43000 28 0 2 18000 48 0 0 24000 136 110 0 25000 32 -99 2 2014
41 0 775 2 3 2 2014 2 1 -99 25000 2 1 32 4 3 1 4 -99 -99 -99 2 3 1 1 2 2 21207 6 6 2017 3 0 1 5.02 5.23 22000 26 0 1 24000 50 0 0 32000 109 90 1 25000 32 -99 2 2014
41 0 775 2 3 2 2014 2 1 -99 25000 2 1 32 4 3 1 4 -99 -99 -99 2 3 1 1 2 2 21207 6 7 2017 3 1 1 5.02 5.23 18000 26 0 1 18000 46 0 0 18000 109 75 0 25000 32 -99 1 2014
41 0 775 2 3 2 2014 2 1 -99 25000 2 1 32 4 3 1 4 -99 -99 -99 2 3 1 1 2 2 21207 6 8 2018 4 0 3 5.2 5.27 30000 40 0 1 28000 43 0 1 21000 122 105 0 25000 32 -99 1 2014
41 0 775 2 3 2 2014 2 1 -99 25000 2 1 32 4 3 1 4 -99 -99 -99 2 3 1 1 2 2 21207 6 14 2021 7 0 3 5.56 5.71 30000 42 0 1 18000 66 0 0 21000 121 105 0 28000 43 -99 1 2018
42 1 2045 1 2 1 2012 1 1 -99 15000 1 1 38 2 4 1 1 15 1 0 1 2 2 2 2 3 21613 6 0 2014 0 0 3 3.25 5.25 16000 38 0 0 28000 40 0 0 18000 120 100 0 15000 38 -99 1 2012
42 1 2045 1 2 1 2012 1 1 -99 15000 1 1 38 2 4 1 1 15 1 0 1 2 2 2 2 3 21613 6 6 2017 3 0 3 3.89 5.46 28000 29 0 2 21000 50 0 0 28000 109 100 0 15000 38 -99 1 2014
42 1 2045 1 2 1 2012 1 1 -99 15000 1 1 38 2 4 1 1 15 1 0 1 2 2 2 2 3 21613 6 12 2020 6 0 4 4.47 5.78 30000 36 0 1 21000 60 0 0 28000 98 140 1 21000 50 -99 0 2017
43 1 1299 1 3 4 2012 2 1 -99 28000 1 1 30 2 6 1 1 22 1 0 1 4 1 1 2 3 21236 4 0 2014 0 0 3 4.25 4 22000 32 0 1 28000 40 0 0 18000 120 100 0 28000 30 -99 1 2012
43 1 1299 1 3 4 2012 2 1 -99 28000 1 1 30 2 6 1 1 22 1 0 1 4 1 1 2 3 21236 4 6 2017 3 0 3 4.88 4.41 13000 44 0 0 21000 50 0 0 32000 89 105 1 28000 30 -99 1 2014
43 1 1299 1 3 4 2012 2 1 -99 28000 1 1 30 2 6 1 1 22 1 0 1 4 1 1 2 3 21236 4 12 2020 6 0 4 5.79 4.68 18000 44 0 1 18000 60 0 0 21000 138 90 0 21000 50 -99 0 2017
44 1 6346 2 3 4 2005 2 1 -99 24000 2 2 -99 5 5 1 3 -99 -99 -99 2 4 1 1 2 2 20785 3 0 2014 0 0 3 3.75 5.25 35000 18 0 2 20000 45 0 1 32000 110 90 1 24000 -97 -99 2 2005
44 1 6346 2 3 4 2005 2 1 -99 24000 2 2 -99 5 5 1 3 -99 -99 -99 2 4 1 1 2 2 20785 3 6 2017 3 0 3 4.76 5.37 13000 34 0 0 24000 58 0 0 20000 99 125 1 24000 -97 -99 2 2014
44 1 6346 2 3 4 2005 2 1 -99 24000 2 2 -99 5 5 1 3 -99 -99 -99 2 4 1 1 2 2 20785 3 12 2020 6 0 3 5.34 5.69 13000 36 0 0 20000 47 0 1 18000 118 90 0 24000 58 -99 0 2017
45 1 378 1 3 2 2007 2 2 2010 23000 2 1 24 4 3 1 1 20 1 0 1 6 2 3 2 2 21229 6 0 2014 0 0 4 3 4.5 18000 28 0 1 32000 45 0 1 28000 110 70 0 23000 24 -99 2 2007
45 1 378 1 3 2 2007 2 2 2010 23000 2 1 24 4 3 1 1 20 1 0 1 6 2 3 2 2 21229 6 6 2017 3 0 3 2.98 4.94 16000 44 0 0 24000 58 0 0 24000 109 85 0 23000 24 -99 2 2014
45 1 378 1 3 2 2007 2 2 2010 23000 2 1 24 4 3 1 1 20 1 0 1 6 2 3 2 2 21229 6 12 2020 6 0 4 3.62 5.16 13000 45 0 0 28000 52 0 1 24000 128 140 1 24000 58 -99 0 2017
46 0 309 2 2 -99 -99 -99 -99 -99 -99 -99 -99 -99 2 4 2 3 -99 -99 -99 2 1 1 1 2 2 21702 2 0 2014 0 0 1 3.5 4 22000 32 0 1 24000 52 0 0 28000 80 75 1 -99 -97 -99 -99 -99
46 0 309 2 2 -99 -99 -99 -99 -99 -99 -99 -99 -99 2 4 2 3 -99 -99 -99 2 1 1 1 2 2 21702 2 1 2014 0 1 1 3.5 4 28000 26 0 2 24000 40 0 1 32000 80 90 1 -99 -97 -99 -99 -99
46 0 309 2 2 -99 -99 -99 -99 -99 -99 -99 -99 -99 2 4 2 3 -99 -99 -99 2 1 1 1 2 2 21702 2 2 2015 1 0 1 3.69 4.1 20000 30 0 0 50000 31 0 2 24000 103 95 1 -99 -97 -99 -99 -99
46 0 309 2 2 -99 -99 -99 -99 -99 -99 -99 -99 -99 2 4 2 3 -99 -99 -99 2 1 1 1 2 2 21702 2 3 2015 1 1 1 3.69 4.1 22000 34 0 1 28000 42 0 0 18000 123 105 0 -99 -97 -99 -99 -99
46 0 309 2 2 -99 -99 -99 -99 -99 -99 -99 -99 -99 2 4 2 3 -99 -99 -99 2 1 1 1 2 2 21702 2 4 2016 2 0 1 3.98 4.34 35000 24 0 2 20000 39 0 1 24000 116 95 0 -99 -97 -99 -99 -99
46 0 309 2 2 -99 -99 -99 -99 -99 -99 -99 -99 -99 2 4 2 3 -99 -99 -99 2 1 1 1 2 2 21702 2 5 2016 2 1 1 3.98 4.34 43000 16 0 2 18000 56 0 0 32000 96 120 1 -99 -97 -99 -99 -99
46 0 309 2 2 -99 -99 -99 -99 -99 -99 -99 -99 -99 2 4 2 3 -99 -99 -99 2 1 1 1 2 2 21702 2 6 2017 3 0 1 4.05 4.51 22000 38 0 1 24000 58 0 0 24000 109 85 0 -99 -97 -99 -99 -99
46 0 309 2 2 -99 -99 -99 -99 -99 -99 -99 -99 -99 2 4 2 3 -99 -99 -99 2 1 1 1 2 2 21702 2 7 2017 3 1 2 4.05 4.51 13000 39 0 0 24000 50 0 0 24000 119 125 1 -97 -97 -99 0 -99
46 0 309 2 2 -99 -99 -99 -99 -99 -99 -99 -99 -99 2 4 2 3 -99 -99 -99 2 1 1 1 2 2 21702 2 12 2020 6 0 2 5.14 4.92 20000 40 0 0 24000 52 0 0 28000 118 90 0 13000 39 -99 0 2017
